"","BE010101","BE010102","BE010103","BE010104","BE010105","BE010106","BE010107","BE010108","BE010109","BE010110","BE010111","BE010112","BE010113","BE010114","BE010115","BE010116","BE010117","BE010118","BE010119"
"1989 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.90,1.47,"_","_","_"
"1990 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.12,0.90,"_","_","_"
"1990 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.24,0.89,"_","_","_"
"1990 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.32,0.49,"_","_","_"
"1990 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.19,0.44,"_","_","_"
"1991 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.19,0.97,"_","_","_"
"1991 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.51,-0.53,"_","_","_"
"1991 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.57,-1.93,"_","_","_"
"1991 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.20,-3.29,"_","_","_"
"1992 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.73,-4.99,"_","_","_"
"1992 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.70,-4.76,"_","_","_"
"1992 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.83,-4.82,"_","_","_"
"1992 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.34,-4.92,"_","_","_"
"1993 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.52,-4.96,"_","_","_"
"1993 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.91,-5.32,"_","_","_"
"1993 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.66,-5.12,"_","_","_"
"1993 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.29,-4.84,"_","_","_"
"1994 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.97,-4.26,"_","_","_"
"1994 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.46,-3.69,"_","_","_"
"1994 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.01,-2.60,"_","_","_"
"1994 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 DIC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.28,-1.95,"_","_","_"
"1995 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.47,"_","_"
"1995 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.44,"_","_"
"1995 MAR","_","_","_","_","_","_",1.06,"_","_","_","_","_","_","_",0.61,-1.27,10.40,14.224,"_"
"1995 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.36,"_","_"
"1995 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.36,"_","_"
"1995 JUN","_","_","_","_","_","_",0.99,"_","_","_","_","_","_","_",0.81,-0.54,10.36,14.139,"_"
"1995 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.35,"_","_"
"1995 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.37,"_","_"
"1995 SEP","_","_","_","_","_","_",0.62,"_","_","_","_","_","_","_",0.78,-0.73,10.41,14.177,"_"
"1995 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.40,"_","_"
"1995 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.44,"_","_"
"1995 DIC","_","_","_","_","_","_",0.63,"_","_","_","_","_","_","_",0.77,-0.77,10.45,14.289,"_"
"1996 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.50,"_","_"
"1996 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.61,"_","_"
"1996 MAR",2.23,1.86,-0.58,1.53,3.29,4.12,0.86,1.28,3.56,4.15,3.52,3.16,0.79,2.35,0.48,-0.91,10.63,14.541,"_"
"1996 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.63,"_","_"
"1996 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.61,"_","_"
"1996 JUN",1.17,1.75,2.41,1.31,2.46,2.18,1.08,1.43,3.64,3.25,3.16,2.25,0.89,1.33,0.51,-1.18,10.61,14.618,"_"
"1996 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.58,"_","_"
"1996 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.58,"_","_"
"1996 SEP",1.55,1.77,2.95,0.99,5.24,3.10,1.22,1.63,2.66,2.36,2.30,2.35,1.05,1.28,0.58,-1.24,10.60,14.599,"_"
"1996 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.62,"_","_"
"1996 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.61,"_","_"
"1996 DIC",1.50,0.91,2.03,0.89,7.12,4.77,1.31,1.66,1.79,2.07,1.43,2.03,1.06,0.97,0.59,-1.20,10.60,14.647,"_"
"1997 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.68,"_","_"
"1997 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.66,"_","_"
"1997 MAR",1.12,1.92,3.20,1.41,7.55,5.76,1.40,2.00,0.61,-0.08,0.26,1.96,1.28,0.67,0.76,-0.96,10.59,14.718,"_"
"1997 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.57,"_","_"
"1997 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.58,"_","_"
"1997 JUN",1.86,1.64,1.75,1.90,11.00,9.45,1.59,2.48,-0.19,-0.32,-0.35,2.44,1.66,0.77,0.85,-0.71,10.58,14.651,"_"
"1997 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.54,"_","_"
"1997 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.51,"_","_"
"1997 SEP",1.61,0.81,2.10,1.87,13.25,11.23,1.90,2.64,-0.26,-0.90,-0.85,2.04,1.69,0.34,1.01,0.00,10.50,14.611,"_"
"1997 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.50,"_","_"
"1997 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.45,"_","_"
"1997 DIC",2.58,0.52,4.28,2.86,11.91,10.90,1.70,3.33,0.15,-0.40,-0.15,2.12,2.23,-0.11,1.12,0.51,10.41,14.562,"_"
"1998 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.35,"_","_"
"1998 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.29,"_","_"
"1998 MAR",2.88,0.96,6.86,3.77,11.55,12.59,1.22,3.63,-0.08,0.07,-0.09,1.19,2.12,-0.91,1.51,0.75,10.23,14.398,"_"
"1998 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.21,"_","_"
"1998 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.15,"_","_"
"1998 JUN",2.65,0.94,4.87,3.10,9.47,11.00,1.24,2.79,0.57,0.64,0.89,1.17,0.96,0.21,1.88,1.30,10.09,14.261,"_"
"1998 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.03,"_","_"
"1998 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.98,"_","_"
"1998 SEP",3.47,1.24,6.30,3.80,5.49,9.38,0.80,2.67,0.64,1.30,1.40,1.28,0.67,0.62,2.05,0.89,9.94,14.066,"_"
"1998 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.89,"_","_"
"1998 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.85,"_","_"
"1998 DIC",3.34,1.76,4.93,3.31,3.04,7.77,0.28,1.85,1.05,1.81,1.92,1.51,-0.27,1.78,2.19,0.74,9.82,13.925,"_"
"1999 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.69,"_",-8185
"1999 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.64,"_",-2278
"1999 MAR",3.49,2.15,5.24,3.36,2.08,6.04,-0.01,2.12,1.50,2.54,2.23,1.75,0.09,1.65,2.09,0.30,9.56,13.637,1347
"1999 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.50,"_",-844
"1999 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.45,"_",-4245
"1999 JUN",3.30,1.52,6.63,3.35,3.42,6.76,0.21,2.32,1.51,2.93,1.84,2.16,0.55,1.60,1.82,-0.56,9.40,13.407,2130
"1999 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.32,"_",2438
"1999 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.26,"_",-4417
"1999 SEP",3.31,1.78,6.03,3.28,6.70,7.90,0.45,2.97,1.44,3.37,1.55,2.20,1.14,1.04,1.88,-0.51,9.19,13.181,-5451
"1999 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.06,"_",-2752
"1999 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.00,"_",-6686
"1999 DIC",3.47,1.93,6.21,3.75,10.43,10.07,0.41,3.97,1.27,2.79,0.82,2.21,2.07,0.13,1.97,-0.52,8.92,12.844,-4216
"2000 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.82,"_",-10512
"2000 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.76,"_",-7922
"2000 MAR",3.46,2.11,6.90,3.54,13.74,11.86,0.58,4.23,1.99,2.87,1.18,3.04,2.11,0.91,2.20,-0.19,8.70,12.565,-3773
"2000 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.59,"_",-13196
"2000 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.52,"_",-9916
"2000 JUN",3.75,2.44,5.49,4.07,12.96,11.70,0.63,4.58,2.07,2.41,1.15,2.43,2.08,0.34,2.54,0.48,8.47,12.284,-7165
