"","BE010101","BE010102","BE010103","BE010104","BE010105","BE010106","BE010107","BE010108","BE010109","BE010110","BE010111","BE010112","BE010113","BE010114","BE010115","BE010116","BE010117","BE010118","BE010119"
"2004 SEP",1.09,1.62,1.75,2.22,7.05,7.92,1.08,2.03,2.19,0.84,1.68,1.69,1.19,0.49,0.85,-1.52,9.03,13.643,2630
"2004 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.00,"_",8106
"2004 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.03,"_",2643
"2004 DIC",1.89,1.14,1.65,1.93,6.70,7.47,0.99,1.76,2.06,2.38,1.88,2.04,0.85,1.18,0.91,-0.74,9.07,13.731,13891
"2005 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.04,"_",-7542
"2005 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.05,"_",3989
"2005 MAR",1.58,1.27,1.83,1.61,4.84,5.51,1.25,1.45,1.99,2.19,1.94,1.70,0.43,1.26,1.00,-0.85,9.10,13.810,3731
"2005 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.04,"_",-4241
"2005 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.04,"_",-4247
"2005 JUN",1.86,1.74,3.32,2.27,4.07,5.91,1.00,1.67,1.90,1.62,1.89,1.85,0.71,1.14,0.95,-1.36,9.00,13.783,4893
"2005 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.97,"_",5633
"2005 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.94,"_",-4008
"2005 SEP",2.34,1.62,4.08,1.86,6.13,5.97,1.19,1.99,2.15,2.49,1.96,1.99,1.08,0.90,0.91,-1.01,8.92,13.676,2932
"2005 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.90,"_",2386
"2005 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.86,"_",-536
"2005 DIC",1.68,1.55,4.63,2.25,6.11,6.56,0.85,2.15,2.29,3.20,2.15,2.38,1.19,1.17,0.93,-1.17,8.82,13.598,6235
"2006 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.77,"_",-6634
"2006 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.74,"_",-2566
"2006 MAR",2.14,2.32,4.78,2.97,8.94,9.92,0.95,2.72,2.31,2.22,1.98,2.06,1.33,0.73,1.37,-0.82,8.71,13.445,-1094
"2006 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.54,"_",-5897
"2006 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.45,"_",-14719
"2006 JUN",2.13,1.59,5.92,2.89,8.73,8.26,1.24,3.14,2.32,3.14,2.00,2.39,1.37,1.00,1.74,-0.32,8.38,13.038,3939
"2006 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.24,"_",-593
"2006 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.20,"_",-2932
"2006 SEP",1.90,1.68,5.49,3.18,7.18,7.57,1.08,3.10,2.13,2.15,2.00,2.46,1.41,1.03,1.64,-0.16,8.14,12.641,2786
"2006 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.07,"_",1637
"2006 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.01,"_",4275
"2006 DIC",2.42,2.38,6.91,2.77,9.58,7.90,1.57,3.48,1.90,0.89,1.85,2.09,1.73,0.35,1.70,0.12,7.93,12.391,11341
"2007 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.76,"_",-2732
"2007 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.68,"_",-3902
"2007 MAR",1.64,2.13,7.26,3.03,7.03,6.18,1.33,3.41,2.06,1.60,2.36,2.60,1.57,0.99,1.78,0.35,7.60,11.905,9128
"2007 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.52,"_",-4578
"2007 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.49,"_",-14633
"2007 JUN",1.71,2.13,4.52,2.35,5.97,5.32,1.55,2.66,2.10,0.92,2.41,2.37,0.92,1.43,1.71,0.24,7.45,11.636,12448
"2007 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.48,"_",5044
"2007 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.46,"_",-593
"2007 SEP",1.83,2.18,4.30,2.32,6.80,5.98,1.47,2.69,2.15,1.69,2.43,2.26,0.79,1.45,1.86,0.17,7.40,11.619,3663
"2007 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.38,"_",4067
"2007 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.34,"_",-48
"2007 DIC",1.24,1.94,3.26,1.96,3.96,3.46,1.81,2.19,2.86,2.60,2.39,2.82,0.48,2.34,1.69,0.14,7.30,11.481,3221
"2008 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.27,"_",-18189
"2008 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.23,"_",7277
"2008 MAR",1.56,1.61,2.83,1.67,5.59,4.35,1.91,2.22,3.02,2.69,2.14,3.15,0.65,2.49,1.54,0.37,7.20,11.353,-6345
"2008 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.29,"_",-7480
"2008 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.38,"_",-24029
"2008 JUN",0.53,2.30,1.08,0.90,4.01,2.62,2.18,1.50,3.37,3.71,2.37,3.18,0.33,2.85,1.12,0.30,7.44,11.595,367
"2008 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.52,"_",-4127
"2008 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.58,"_",-11468
"2008 SEP",-0.04,2.34,-1.01,0.35,1.41,1.10,1.62,0.49,3.50,2.91,2.35,3.50,-0.02,3.53,0.44,-0.26,7.69,11.964,-7547
"2008 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.86,"_",-8145
"2008 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.01,"_",-15964
"2008 DIC",-0.72,2.48,-5.54,-0.43,-6.68,-3.78,0.43,-1.71,2.05,2.32,2.46,2.90,-1.64,4.62,-0.13,-1.30,8.20,12.656,-5342
"2009 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.54,"_",-28409
"2009 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.78,"_",-7019
"2009 MAR",-1.41,2.61,-11.02,-3.15,-16.59,-12.88,-0.05,-4.87,0.50,2.68,1.87,1.78,-3.67,5.65,-1.28,-2.95,9.01,13.850,-6957
"2009 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.18,"_",-9375
"2009 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.29,"_",-11867
"2009 JUN",-0.81,2.19,-10.90,-3.35,-17.06,-14.37,0.66,-4.67,-0.58,1.54,0.93,1.52,-2.93,4.59,-1.81,-4.23,9.39,14.675,752
"2009 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.49,"_",8813
"2009 AGO","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.59,"_","_"
