"","BE010101","BE010102","BE010103","BE010104","BE010105","BE010106","BE010107","BE010108","BE010109","BE010110","BE010111","BE010112","BE010113","BE010114","BE010115","BE010116","BE010117","BE010118","BE010119"
"NÚMERO SECUENCIAL",586293,586294,586295,586292,586296,586297,1626652,586291,601280,601281,601279,601272,601274,601273,601277,721776,585826,722383,675923
"DESCRIPCIÓN DE LA SERIE","UEM.Consumo Privado.Tasa de variación interanual","UEM.Consumo Público.Tasa de variación interanual","UEM.Formación Bruta de Capital Fijo.Tasa de variación interanual","UEM.Demanda interior.Tasa de variación interanual","UEM.Exportaciones de bienes y servicios.Tasa de variación interanual","UEM.Importaciones de bienes y servicios.Tasa de variación interanual","UEM.Saldo neto exterior.Precios constantes.Porcentaje del PIB","UEM.PIB.Tasa de variación interanual","UEM.Consumo Privado.Deflactor.Tasa de variación interanual","UEM.Consumo Público.Deflactor.Tasa de variación interanual","UEM.PIB.Deflactor.Tasa de variación interanual","UEM.Remuneración por asalariado.Tasa de variación interanual","UEM.Productividad laboral.Tasa de variación interanual","UEM.Coste laboral unitario.Tasa de variación interanual","UEM.Población ocupada.Tasa de variación interanual","UEM.Población ocupada en la industria.Tasa de variación interanual","UEM.PIB.Tasa de desempleo.Tasa de variación interanual","UEM.  NUMERO DE DESEMPLEADOS","UEM. BALANZA POR CUENTA CORRRIENTE"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Millones de Personas","Millones de Euros"
"1981 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1981 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.54,-3.15,"_","_","_"
"1981 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1981 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1981 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.70,-3.01,"_","_","_"
"1982 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.70,-2.95,"_","_","_"
"1982 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.33,-2.27,"_","_","_"
"1982 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.15,-2.03,"_","_","_"
"1982 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1982 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.21,-2.15,"_","_","_"
"1983 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.57,-2.45,"_","_","_"
"1983 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.56,-2.68,"_","_","_"
"1983 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.38,-2.41,"_","_","_"
"1983 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1983 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.19,-2.15,"_","_","_"
"1984 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.08,-1.80,"_","_","_"
"1984 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.17,-2.01,"_","_","_"
"1984 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.14,-1.94,"_","_","_"
"1984 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1984 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.01,-1.82,"_","_","_"
"1985 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.17,-1.57,"_","_","_"
"1985 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.60,-0.91,"_","_","_"
"1985 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.69,-0.56,"_","_","_"
"1985 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1985 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.85,-0.06,"_","_","_"
"1986 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.09,0.27,"_","_","_"
"1986 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.13,0.40,"_","_","_"
"1986 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.31,0.25,"_","_","_"
"1986 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1986 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.49,0.05,"_","_","_"
"1987 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.35,-0.39,"_","_","_"
"1987 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.41,-0.52,"_","_","_"
"1987 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.42,-0.31,"_","_","_"
"1987 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1987 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.32,-0.28,"_","_","_"
"1988 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.45,-0.04,"_","_","_"
"1988 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.49,0.29,"_","_","_"
"1988 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.52,0.33,"_","_","_"
"1988 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1988 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.52,0.51,"_","_","_"
"1989 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.72,1.03,"_","_","_"
"1989 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.71,0.98,"_","_","_"
"1989 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.71,1.36,"_","_","_"
"1989 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1989 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.90,1.47,"_","_","_"
"1990 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.12,0.90,"_","_","_"
"1990 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.24,0.89,"_","_","_"
"1990 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.32,0.49,"_","_","_"
"1990 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1990 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.19,0.44,"_","_","_"
"1991 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2.19,0.97,"_","_","_"
"1991 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1.51,-0.53,"_","_","_"
"1991 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.57,-1.93,"_","_","_"
"1991 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1991 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.20,-3.29,"_","_","_"
"1992 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.73,-4.99,"_","_","_"
"1992 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.70,-4.76,"_","_","_"
"1992 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.83,-4.82,"_","_","_"
"1992 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1992 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.34,-4.92,"_","_","_"
"1993 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.52,-4.96,"_","_","_"
"1993 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.91,-5.32,"_","_","_"
"1993 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.66,-5.12,"_","_","_"
"1993 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1993 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.29,-4.84,"_","_","_"
"1994 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.97,-4.26,"_","_","_"
"1994 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.46,-3.69,"_","_","_"
"1994 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 SEP","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.01,-2.60,"_","_","_"
"1994 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1994 DEC","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.28,-1.95,"_","_","_"
"1995 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.46,"_","_"
"1995 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.44,"_","_"
"1995 MAR","_","_","_","_","_","_",1.06,"_","_","_","_","_","_","_",0.61,-1.25,10.40,14.223,"_"
"1995 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.36,"_","_"
"1995 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.36,"_","_"
"1995 JUN","_","_","_","_","_","_",0.99,"_","_","_","_","_","_","_",0.81,-0.54,10.36,14.140,"_"
"1995 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.35,"_","_"
"1995 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.37,"_","_"
"1995 SEP","_","_","_","_","_","_",0.62,"_","_","_","_","_","_","_",0.78,-0.73,10.41,14.177,"_"
"1995 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.40,"_","_"
"1995 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.44,"_","_"
"1995 DEC","_","_","_","_","_","_",0.63,"_","_","_","_","_","_","_",0.77,-0.78,10.45,14.289,"_"
"1996 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.50,"_","_"
"1996 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.60,"_","_"
"1996 MAR",2.23,1.86,-0.58,1.53,3.29,4.12,0.86,1.28,3.56,4.15,3.52,3.16,0.78,2.35,0.49,-0.92,10.63,14.541,"_"
"1996 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.63,"_","_"
"1996 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.61,"_","_"
"1996 JUN",1.17,1.75,2.41,1.31,2.46,2.18,1.08,1.43,3.64,3.25,3.16,2.25,0.89,1.33,0.51,-1.18,10.61,14.619,"_"
"1996 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.58,"_","_"
"1996 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.58,"_","_"
"1996 SEP",1.55,1.77,2.95,0.99,5.24,3.10,1.22,1.63,2.66,2.36,2.30,2.35,1.05,1.28,0.58,-1.24,10.60,14.599,"_"
"1996 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.61,"_","_"
"1996 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.61,"_","_"
"1996 DEC",1.50,0.91,2.03,0.89,7.12,4.77,1.31,1.66,1.79,2.07,1.43,2.03,1.05,0.97,0.58,-1.19,10.60,14.646,"_"
"1997 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.68,"_",-849
"1997 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.66,"_",89
"1997 MAR",1.12,1.92,3.20,1.41,7.55,5.76,1.40,2.00,0.61,-0.08,0.26,1.95,1.28,0.64,0.75,-0.96,10.59,14.718,2377
"1997 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.57,"_",5027
"1997 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.58,"_",2236
"1997 JUN",1.86,1.64,1.75,1.90,11.00,9.45,1.59,2.48,-0.19,-0.32,-0.35,2.42,1.67,0.71,0.85,-0.71,10.58,14.651,7179
"1997 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.54,"_",10307
"1997 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.51,"_",2035
"1997 SEP",1.61,0.81,2.10,1.87,13.25,11.23,1.90,2.64,-0.26,-0.90,-0.85,2.02,1.69,0.28,1.01,-0.01,10.49,14.607,3414
"1997 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.50,"_",3525
"1997 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.45,"_",5374
"1997 DEC",2.58,0.52,4.28,2.86,11.91,10.90,1.70,3.33,0.15,-0.40,-0.15,2.12,2.23,-0.14,1.14,0.51,10.41,14.567,9536
"1998 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.35,"_",-8040
"1998 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.30,"_",153
"1998 MAR",2.88,0.96,6.86,3.77,11.55,12.59,1.22,3.63,-0.08,0.07,-0.09,1.21,2.12,-0.93,1.51,0.75,10.24,14.402,5464
"1998 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.21,"_",1964
"1998 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.15,"_",2101
"1998 JUN",2.65,0.94,4.87,3.10,9.47,11.00,1.24,2.79,0.57,0.64,0.89,1.18,0.95,0.18,1.88,1.30,10.09,14.256,6115
"1998 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.03,"_",8068
"1998 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.99,"_",1390
"1998 SEP",3.47,1.24,6.30,3.80,5.49,9.38,0.80,2.67,0.64,1.30,1.40,1.29,0.67,0.59,2.05,0.90,9.94,14.069,-2435
"1998 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.89,"_",303
"1998 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.85,"_",1131
"1998 DEC",3.34,1.76,4.93,3.31,3.04,7.77,0.28,1.85,1.05,1.81,1.92,1.51,-0.27,1.77,2.20,0.74,9.81,13.920,4092
"1999 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.69,"_",-8178
"1999 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.63,"_",-2037
"1999 MAR",3.49,2.15,5.24,3.36,2.08,6.04,-0.01,2.12,1.50,2.54,2.23,1.74,0.10,1.62,2.09,0.30,9.55,13.631,1583
"1999 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.51,"_",-543
"1999 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.46,"_",-4002
"1999 JUN",3.30,1.52,6.63,3.35,3.42,6.76,0.21,2.32,1.51,2.93,1.84,2.15,0.55,1.57,1.82,-0.56,9.40,13.415,2461
"1999 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.32,"_",2407
"1999 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.25,"_",-4578
"1999 SEP",3.31,1.78,6.03,3.28,6.70,7.90,0.45,2.97,1.44,3.37,1.55,2.21,1.14,1.01,1.88,-0.51,9.19,13.181,-5457
"1999 OCT","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.06,"_",-2891
"1999 NOV","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",9.00,"_",-6646
"1999 DEC",3.47,1.93,6.21,3.75,10.43,10.07,0.41,3.97,1.27,2.79,0.82,2.22,2.08,0.07,1.96,-0.52,8.92,12.844,-4089
"2000 JAN","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.82,"_",-10284
"2000 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.76,"_",-7654
"2000 MAR",3.46,2.11,6.90,3.54,13.74,11.86,0.58,4.23,1.99,2.87,1.18,3.04,2.11,0.86,2.21,-0.20,8.71,12.571,-3365
"2000 APR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.59,"_",-12896
"2000 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.52,"_",-9732
"2000 JUN",3.75,2.44,5.49,4.07,12.96,11.70,0.63,4.58,2.07,2.41,1.15,2.44,2.09,0.30,2.55,0.48,8.47,12.279,-6916
"2000 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.40,"_",-5671
"2000 AUG","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",8.36,"_",-11057
